lat,lon,st_marker_id
41.140746,-8.610291,A0
41.151951,-8.574678,A1
41.141412,-8.618643,A2
41.148009,-8.619894,A3
41.146137,-8.617599,A4
41.15439,-8.613297,A5
41.140674,-8.615502,A6
41.146254,-8.617599,A7
41.148576,-8.585685,A8
41.18049,-8.645994,A9
41.145948,-8.57952,A10
41.154795,-8.630568,A11
41.160969,-8.628858,A12
41.168574,-8.660646,A13
41.140557,-8.611794,A14
41.146182,-8.617563,A15
41.159826,-8.639847,A16
41.155101,-8.618868,A17
41.154795,-8.630784,A18
41.141313,-8.61399,A19
41.150034,-8.620938,A20
41.14458,-8.606493,A21
41.150529,-8.610948,A22
41.149188,-8.599239,A23
41.164857,-8.585145,A24
41.170626,-8.665686,A25
41.154129,-8.611965,A26
41.148603,-8.585631,A27
41.150367,-8.617041,A28
41.008275,-8.645373,A29
41.140557,-8.615907,A30
41.153418,-8.678889,A31
41.168403,-8.56242,A32
41.151267,-8.609652,A33
41.155281,-8.618886,A34
41.167323,-8.688825,A35
41.147298,-8.611281,A36
41.14053,-8.612208,A37
41.151294,-8.609634,A38
41.149485,-8.611128,A39
41.140566,-8.612154,A40
41.151303,-8.609706,A41
41.173668,-8.688348,A42
41.137731,-8.587602,A43
41.140872,-8.613108,A44
41.158368,-8.628084,A45
41.163372,-8.602209,A46
41.163156,-8.584263,A47
41.140377,-8.612955,A48
41.17077,-8.573616,A49
41.148567,-8.58564,A50
41.153499,-8.608716,A51
41.153868,-8.67411,A52
41.164209,-8.623017,A53
41.150358,-8.612055,A54
41.142717,-8.574705,A55
41.160996,-8.628885,A56
41.145894,-8.612613,A57
41.140431,-8.612856,A58
41.174055,-8.666757,A59
41.154984,-8.630649,A60
41.165028,-8.648046,A61
41.145993,-8.612532,A62
41.182695,-8.600067,A63
41.157738,-8.628336,A64
41.151015,-8.620245,A65
41.157711,-8.628201,A66
41.149179,-8.586387,A67
41.146803,-8.640108,A68
41.148333,-8.648226,A69
41.180724,-8.663409,A70
41.150439,-8.611389,A71
41.154444,-8.613243,A72
41.159799,-8.639838,A73
41.162022,-8.652933,A74
41.16285,-8.611101,A75
41.182704,-8.600067,A76
41.160969,-8.60418,A77
41.237271,-8.669646,A78
41.177673,-8.621523,A79
41.144526,-8.606439,A80
41.157459,-8.628201,A81
41.168115,-8.689329,A82
41.140827,-8.609967,A83
41.182749,-8.600148,A84
41.16969,-8.589258,A85
41.159592,-8.638227,A86
41.156064,-8.619327,A87
41.149431,-8.611065,A88
41.147991,-8.619912,A89
41.105682,-8.591211,A90
41.147514,-8.613792,A91
41.150358,-8.611983,A92
41.181768,-8.601264,A93
41.145777,-8.578683,A94
41.152284,-8.60679,A95
41.1543,-8.649378,A96
41.145741,-8.610849,A97
41.157459,-8.628354,A98
41.169969,-8.604765,A99
41.14143,-8.614017,A100
41.1408,-8.609652,A101
41.15043,-8.611497,A102
41.1399,-8.609391,A103
41.16105,-8.621082,A104
41.151213,-8.6094,A105
41.148666,-8.585811,A106
41.145948,-8.612568,A107
41.145939,-8.612532,A108
41.144472,-8.606403,A109
41.168124,-8.689338,A110
41.140692,-8.615556,A111
41.164191,-8.623152,A112
41.152977,-8.660232,A113
41.157486,-8.628363,A114
41.165604,-8.64513,A115
41.177367,-8.6625,A116
41.179698,-8.652555,A117
41.154615,-8.618913,A118
41.153481,-8.605629,A119
41.167872,-8.689392,A120
41.1462,-8.597556,A121
41.153868,-8.674119,A122
41.148009,-8.61984,A123
41.157378,-8.628327,A124
41.145777,-8.610903,A125
41.165181,-8.628228,A126
