RequestTime,tripDistance,lat,lon,street_marker,aim_marker
0,630.3797595328631,41.140746,-8.610291,A0,A5000
1,2971.534525115768,41.151951,-8.574678,A1,A5001
5,1776.8424827011995,41.141412,-8.618643,A2,A5002
22,1356.1264352403164,41.148009,-8.619894,A3,A5003
43,3012.801662495574,41.146137,-8.617599,A4,A5004
103,2712.056893367799,41.15439,-8.613297,A5,A5005
112,3840.157298634097,41.140674,-8.615502,A6,A5006
219,2767.624113507726,41.146254,-8.617599,A7,A5007
231,1938.5730926014533,41.148576,-8.585685,A8,A5008
238,3473.435949806742,41.18049,-8.645994,A9,A5009
357,2082.1205949617406,41.145948,-8.57952,A10,A5010
377,1469.3378603844287,41.154795,-8.630568,A11,A5011
394,2075.633345628956,41.160969,-8.628858,A12,A5012
401,5144.57285498055,41.168574,-8.660646,A13,A5013
421,3149.209891096191,41.140557,-8.611794,A14,A5014
446,1809.2283040518075,41.146182,-8.617563,A15,A5015
450,2484.5147403743454,41.159826,-8.639847,A16,A5016
490,3761.622294186614,41.155101,-8.618868,A17,A5017
492,1973.5283011500435,41.154795,-8.630784,A18,A5018
516,1185.570154836427,41.141313,-8.61399,A19,A5019
544,6000.005386252161,41.150034,-8.620938,A20,A5020
570,6046.8855193956015,41.14458,-8.606493,A21,A5021
600,3504.5551753750115,41.150529,-8.610948,A22,A5022
629,2556.3193222298355,41.149188,-8.599239,A23,A5023
757,3699.9407506858993,41.164857,-8.585145,A24,A5024
805,2133.393894030517,41.170626,-8.665686,A25,A5025
862,1475.047610784189,41.154129,-8.611965,A26,A5026
868,3712.9812933449134,41.148603,-8.585631,A27,A5027
875,1139.4725179715952,41.150367,-8.617041,A28,A5028
901,18113.42335543794,41.008275,-8.645373,A29,A5029
1052,1186.2654694940006,41.140557,-8.615907,A30,A5030
1062,6941.9713567239705,41.153418,-8.678889,A31,A5031
1131,5106.697097416952,41.168403,-8.56242,A32,A5032
1168,6377.389023771668,41.151267,-8.609652,A33,A5033
1178,1093.6751689867726,41.155281,-8.618886,A34,A5034
1182,2333.809015211524,41.167323,-8.688825,A35,A5035
1284,5245.093874085667,41.147298,-8.611281,A36,A5036
1298,2021.2221250039,41.14053,-8.612208,A37,A5037
1303,1471.859009621602,41.151294,-8.609634,A38,A5038
1305,1275.2560196222996,41.149485,-8.611128,A39,A5039
1307,2021.177705172484,41.140566,-8.612154,A40,A5040
1308,1449.950253425326,41.151303,-8.609706,A41,A5041
1312,5079.682862962343,41.173668,-8.688348,A42,A5042
1413,8162.446430001354,41.137731,-8.587602,A43,A5043
1489,5535.804048733828,41.140872,-8.613108,A44,A5044
1508,1611.3899063460171,41.158368,-8.628084,A45,A5045
1598,4362.438446363903,41.163372,-8.602209,A46,A5046
1628,5320.863787533483,41.163156,-8.584263,A47,A5047
1649,1937.608824171196,41.140377,-8.612955,A48,A5048
1651,4579.5085373096335,41.17077,-8.573616,A49,A5049
1707,4608.854530124343,41.148567,-8.58564,A50,A5050
1742,2600.9072169585943,41.153499,-8.608716,A51,A5051
1763,9501.161344901811,41.153868,-8.67411,A52,A5052
1788,2870.809980972854,41.164209,-8.623017,A53,A5053
1847,12048.809435587917,41.150358,-8.612055,A54,A5054
1940,3426.57364370537,41.142717,-8.574705,A55,A5055
1998,2456.842142176416,41.160996,-8.628885,A56,A5056
2049,1665.0473478257372,41.145894,-8.612613,A57,A5057
2243,9687.004263010016,41.140431,-8.612856,A58,A5058
2282,920.8012143720636,41.174055,-8.666757,A59,A5059
2359,1475.5405036419345,41.154984,-8.630649,A60,A5060
2388,5368.6773471115785,41.165028,-8.648046,A61,A5061
2505,5696.788564851357,41.145993,-8.612532,A62,A5062
2506,6415.300816604197,41.182695,-8.600067,A63,A5063
2511,1871.4588691457573,41.157738,-8.628336,A64,A5064
2527,3338.094644378573,41.151015,-8.620245,A65,A5065
2588,5150.942735136111,41.157711,-8.628201,A66,A5066
2622,2833.7020101498792,41.149179,-8.586387,A67,A5067
2668,5054.222936899992,41.146803,-8.640108,A68,A5068
2682,7577.446623082458,41.148333,-8.648226,A69,A5069
2683,1921.5009117059808,41.180724,-8.663409,A70,A5070
2705,1440.9671260324662,41.150439,-8.611389,A71,A5071
2782,1382.3398715170588,41.154444,-8.613243,A72,A5072
2995,8319.16129971603,41.159799,-8.639838,A73,A5073
3004,4175.537519884136,41.162022,-8.652933,A74,A5074
3018,1713.8294011120488,41.16285,-8.611101,A75,A5075
3022,4295.528362612054,41.182704,-8.600067,A76,A5076
3107,2188.973489884064,41.160969,-8.60418,A77,A5077
3215,10620.03637828935,41.237271,-8.669646,A78,A5078
3277,1501.2380792616912,41.177673,-8.621523,A79,A5079
3478,4946.435133782189,41.144526,-8.606439,A80,A5080
3485,2034.4804328548248,41.157459,-8.628201,A81,A5081
3503,4505.645278948366,41.168115,-8.689329,A82,A5082
3546,2864.255299197356,41.140827,-8.609967,A83,A5083
3555,9513.470255459806,41.182749,-8.600148,A84,A5084
3646,4941.803780833288,41.16969,-8.589258,A85,A5085
3646,2455.616729593242,41.159592,-8.638227,A86,A5086
3697,948.9706345064322,41.156064,-8.619327,A87,A5087
3702,802.8543666204199,41.149431,-8.611065,A88,A5088
3724,2342.85452524336,41.147991,-8.619912,A89,A5089
